date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-08-10,1882.0,1889.0,1875.0,1862.3,18436.19,-15.28,-0.81,1887.336,1886.173,1827.604,20632.38,24684.13,23288.53,0.15
2023-08-09,1890.0,1905.0,1890.28,1882.96,18523.46,0.28,0.01,1888.03,1882.476,1820.774,21253.84,24874.55,23657.05,0.15
2023-08-08,1880.03,1893.71,1890.0,1864.08,17736.18,2.07,0.11,1885.974,1876.303,1811.95,21250.89,24983.35,23395.11,0.14
2023-08-07,1880.95,1898.0,1887.93,1871.03,23892.45,-5.54,-0.29,1885.774,1870.158,1802.95,21549.78,27518.38,23137.44,0.19
2023-08-04,1887.82,1906.52,1893.47,1882.0,24573.64,15.0,0.8,1884.304,1858.48,1793.599,25847.01,27100.47,22616.69,0.2
2023-08-03,1870.0,1890.0,1878.47,1850.5,21543.47,-1.53,-0.08,1885.01,1846.263,1783.427,28735.87,28580.85,22146.37,0.17
2023-08-02,1883.4,1890.0,1880.0,1866.8,18508.72,-9.0,-0.48,1876.922,1830.816,1774.652,28495.26,28095.76,21826.23,0.15
2023-08-01,1878.01,1906.95,1889.0,1877.89,19230.62,8.42,0.45,1866.632,1815.116,1766.421,28715.81,27493.21,21638.07,0.15
2023-07-31,1908.0,1935.0,1880.58,1874.0,45378.61,-16.42,-0.87,1854.542,1798.496,1758.501,33486.97,27043.92,21300.15,0.36
2023-07-28,1832.0,1900.0,1897.0,1828.01,39017.92,58.97,3.21,1832.656,1783.435,1750.677,28353.93,23939.7,19988.18,0.31
2023-07-27,1836.0,1854.79,1838.03,1828.7,20340.43,9.48,0.52,1807.516,1769.035,1740.377,28425.82,21892.94,19060.22,0.16
2023-07-26,1828.55,1835.99,1828.55,1815.08,19611.45,0.0,0.0,1784.71,1759.072,1734.161,27696.27,22439.55,18754.75,0.16
2023-07-25,1800.0,1828.88,1828.55,1799.99,43086.46,57.4,3.24,1763.6,1747.597,1729.153,26270.62,21806.87,18702.86,0.34
2023-07-24,1750.52,1771.15,1771.15,1750.52,19713.37,-0.15,-0.01,1742.45,1735.742,1723.278,20600.86,18756.5,17307.26,0.16
2023-07-21,1731.88,1772.5,1771.3,1726.0,39377.4,47.3,2.74,1734.214,1728.717,1720.17,19525.48,18132.9,17521.22,0.31
2023-07-20,1727.99,1748.98,1724.0,1722.0,16692.65,1.0,0.06,1730.554,1720.59,1718.397,15360.06,15711.9,16438.38,0.13
2023-07-19,1715.01,1728.0,1723.0,1713.8,12483.22,0.2,0.01,1733.434,1718.488,1719.37,17182.84,15556.7,16651.09,0.1
2023-07-18,1733.58,1734.51,1722.8,1721.0,14737.65,-7.17,-0.41,1731.594,1717.726,1720.42,17343.13,15782.92,17611.92,0.12
2023-07-17,1751.0,1751.0,1729.97,1726.6,14336.48,-23.03,-1.31,1729.034,1718.506,1724.164,16912.14,15556.39,18770.94,0.11
2023-07-14,1756.0,1758.5,1753.0,1741.2,18550.3,14.6,0.84,1723.22,1717.919,1725.416,16740.32,16036.65,19315.24,0.15
2023-07-13,1721.99,1745.41,1738.4,1719.01,25806.54,24.6,1.44,1710.626,1711.719,1724.11,16063.75,16227.49,19963.02,0.21
2023-07-12,1713.04,1723.0,1713.8,1711.33,13284.67,3.8,0.22,1703.542,1709.25,1722.14,13930.56,15069.95,19405.82,0.11
2023-07-11,1710.0,1715.17,1710.0,1702.1,12582.7,9.1,0.54,1703.858,1710.708,1721.25,14222.71,15598.84,20093.05,0.1
2023-07-10,1705.0,1714.96,1700.9,1700.0,13477.41,10.87,0.64,1707.978,1710.813,1719.05,14200.64,15858.02,20342.94,0.11
2023-07-07,1701.0,1708.99,1690.03,1690.0,15167.42,-12.95,-0.76,1712.618,1711.623,1717.405,15332.98,16909.55,20404.2,0.12
2023-07-06,1709.16,1733.0,1702.98,1700.0,15140.62,-12.4,-0.72,1712.812,1716.203,1715.448,16391.23,17164.86,20540.32,0.12
2023-07-05,1730.0,1731.97,1715.38,1700.0,14745.39,-15.22,-0.88,1714.958,1720.251,1713.649,16209.34,17745.48,20778.98,0.12
2023-07-04,1724.2,1734.44,1730.6,1718.08,12472.38,6.5,0.38,1717.558,1723.113,1711.13,16974.98,19440.93,20851.74,0.1
2023-07-03,1699.0,1725.28,1724.1,1692.0,19139.09,33.1,1.96,1713.648,1729.822,1708.13,17515.39,21985.48,21481.02,0.15
2023-06-30,1700.0,1708.99,1691.0,1686.48,20458.69,3.2,0.19,1710.628,1732.912,1703.721,18486.11,22593.83,21956.33,0.16
2023-06-29,1731.0,1734.99,1713.71,1713.01,14231.16,-14.67,-0.85,1719.594,1736.5,1700.616,17938.49,23698.54,22781.24,0.11
2023-06-28,1713.18,1734.0,1728.38,1711.0,18573.56,17.33,1.01,1725.544,1735.029,1698.345,19281.61,23741.68,23392.35,0.15
2023-06-27,1709.99,1719.7,1711.05,1700.09,15174.46,2.05,0.12,1728.668,1731.791,1696.376,21906.88,24587.27,23352.24,0.12
2023-06-26,1720.11,1730.0,1709.0,1695.0,23992.68,-26.83,-1.55,1745.996,1727.286,1695.351,26455.57,24827.86,23508.08,0.19
2023-06-21,1740.0,1756.6,1735.83,1735.0,17720.61,-7.63,-0.44,1755.196,1723.186,1694.951,26701.55,23898.86,23431.72,0.14
2023-06-20,1740.0,1765.0,1743.46,1735.0,20946.74,-0.54,-0.03,1753.406,1714.693,1693.705,29458.58,23915.77,23469.66,0.17
2023-06-19,1790.0,1797.95,1744.0,1738.0,31699.92,-53.69,-2.99,1744.514,1707.046,1692.759,28201.74,23812.49,23267.03,0.25
2023-06-16,1757.0,1800.0,1797.69,1750.1,37917.89,42.69,2.43,1734.914,1699.146,1692.859,27267.65,22262.54,23746.25,0.3
2023-06-15,1730.34,1755.65,1755.0,1723.0,25222.57,28.12,1.63,1708.576,1686.437,1687.95,23200.15,20976.56,23187.41,0.2
2023-06-14,1719.0,1734.24,1726.88,1706.21,31505.8,27.88,1.64,1691.176,1674.529,1684.75,21096.18,21318.82,22887.25,0.25
2023-06-13,1693.88,1704.61,1699.0,1685.0,14662.54,3.0,0.18,1675.98,1664.731,1683.456,18372.95,21863.94,22150.8,0.12
2023-06-12,1666.02,1708.0,1696.0,1661.52,27029.44,30.0,1.8,1669.578,1661.66,1683.67,19423.23,23043.03,22528.87,0.22
2023-06-09,1671.99,1677.97,1666.0,1666.0,17580.41,-2.0,-0.12,1663.378,1660.96,1684.685,17257.44,22117.22,22464.4,0.14
2023-06-08,1655.83,1675.0,1668.0,1650.01,14702.72,17.1,1.04,1664.298,1663.416,1686.705,18752.96,22188.29,22558.4,0.12
2023-06-07,1672.99,1678.8,1650.9,1650.0,17889.64,-16.09,-0.96,1657.882,1666.716,1689.159,21541.47,22964.58,22585.57,0.14
2023-06-06,1670.0,1684.0,1666.99,1651.55,19913.92,1.99,0.12,1653.482,1672.716,1692.864,25354.93,23023.54,22729.72,0.16
2023-06-05,1666.16,1682.88,1665.0,1663.0,16200.5,-5.6,-0.34,1653.742,1678.472,1695.614,26662.83,22721.57,23202.92,0.13
2023-06-02,1645.0,1673.15,1670.6,1636.11,25058.02,34.68,2.12,1658.542,1686.572,1698.39,26977.01,25229.96,24051.46,0.2
2023-06-01,1618.0,1674.99,1635.92,1618.0,28645.25,7.02,0.43,1662.534,1689.462,1702.36,25623.63,25398.27,23834.27,0.23
2023-05-31,1661.01,1665.72,1628.9,1626.67,36956.97,-39.39,-2.36,1675.55,1694.97,1708.059,24387.7,24455.67,23775.33,0.29
2023-05-30,1689.0,1698.89,1668.29,1658.56,26453.4,-20.71,-1.23,1691.95,1702.18,1714.64,20692.16,22437.67,23238.71,0.21
2023-05-29,1697.0,1698.35,1689.0,1678.0,17771.41,-1.56,-0.09,1703.202,1705.68,1719.122,18780.32,22014.7,23196.3,0.14
2023-05-26,1702.0,1705.0,1690.56,1675.01,18291.1,-10.44,-0.61,1714.602,1708.41,1721.867,23482.9,22811.58,23702.31,0.15
2023-05-25,1705.99,1710.0,1701.0,1690.0,22465.6,-9.9,-0.58,1716.39,1709.994,1723.858,25172.91,22928.52,23816.88,0.18
2023-05-24,1732.33,1733.55,1710.9,1710.11,18479.27,-13.65,-0.79,1714.39,1711.601,1724.058,24523.65,22206.57,23705.14,0.15
2023-05-23,1753.99,1754.0,1724.55,1724.55,16894.21,-21.45,-1.23,1712.41,1713.011,1724.787,24183.18,22435.9,23707.07,0.13
2023-05-22,1690.01,1752.0,1746.0,1690.0,41284.32,46.5,2.74,1708.158,1712.756,1725.653,25249.09,23684.28,23856.63,0.33
2023-05-19,1671.0,1704.33,1699.5,1655.55,26741.16,8.5,0.5,1702.218,1710.208,1726.303,22140.26,22872.97,22522.44,0.21
2023-05-18,1704.99,1705.4,1691.0,1690.0,19219.28,-10.0,-0.59,1703.598,1715.258,1729.228,20684.12,22270.27,22101.08,0.15
2023-05-17,1708.0,1713.0,1701.0,1699.01,16776.91,-2.29,-0.13,1708.812,1721.148,1732.328,19889.49,23094.99,22663.48,0.13
2023-05-16,1713.99,1719.99,1703.29,1697.0,22223.77,-13.01,-0.76,1713.612,1727.1,1732.949,20688.62,24039.76,22886.21,0.18
2023-05-15,1702.0,1717.0,1716.3,1691.2,25740.18,9.9,0.58,1717.354,1732.563,1733.935,22119.46,24377.89,23252.16,0.2
2023-05-12,1715.0,1729.88,1706.4,1705.01,19460.45,-10.67,-0.62,1718.198,1735.324,1732.825,23605.68,24593.03,24520.39,0.15
2023-05-11,1731.0,1735.0,1717.07,1715.0,15246.12,-7.93,-0.46,1726.918,1737.722,1734.78,23856.43,24705.24,25007.83,0.12
2023-05-10,1715.19,1736.0,1725.0,1715.0,20772.6,3.0,0.17,1733.484,1736.515,1737.511,26300.49,25203.72,25716.44,0.17
2023-05-09,1715.0,1739.98,1722.0,1707.07,29377.96,1.48,0.09,1740.588,1736.562,1740.811,27390.9,24978.24,25354.04,0.23
2023-05-08,1768.32,1769.0,1720.52,1717.17,33171.26,-29.48,-1.69,1747.772,1738.55,1744.559,26636.31,24028.98,24628.85,0.26
2023-05-05,1766.0,1766.0,1750.0,1736.39,20714.21,0.1,0.01,1752.45,1742.398,1749.262,25580.38,22171.91,23973.6,0.16
2023-05-04,1769.0,1777.67,1749.9,1736.0,27466.42,-10.62,-0.6,1748.526,1743.198,1751.866,25554.04,21931.88,24008.76,0.22
2023-04-28,1763.01,1782.77,1760.52,1753.97,26224.64,2.6,0.15,1739.546,1743.508,1755.371,24106.94,22231.96,24007.76,0.21
2023-04-27,1748.0,1770.0,1757.92,1730.0,25605.04,14.01,0.8,1732.536,1738.798,1757.345,22565.59,21732.66,23659.38,0.2
2023-04-26,1744.0,1761.0,1743.91,1720.0,27891.6,13.53,0.78,1729.328,1735.306,1758.949,21421.65,22126.42,23148.77,0.22
